step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_teleports;step_time;step_waiting
265;3;625282005;265;95;825;826;10.07;0.62;111.35;4.58;560;3;242.00;1
265;3;625282013;265;100;827;827;10.19;0.62;111.35;4.57;562;3;243.00;0
268;3;625282020;268;107;827;827;10.23;0.63;111.57;4.57;559;3;244.00;0
271;3;625282027;271;112;830;831;10.27;0.63;112.55;4.56;559;3;245.00;1
272;3;625282036;272;114;830;831;10.30;0.63;112.64;4.56;558;3;246.00;1
275;3;625282043;275;117;835;835;10.26;0.63;113.74;4.54;560;3;247.00;0
278;3;625282050;278;118;835;835;10.23;0.62;114.65;4.54;557;3;248.00;0
281;3;625282057;281;125;835;835;10.17;0.62;114.90;4.54;554;3;249.00;0
283;3;625282070;283;128;835;835;10.16;0.62;115.67;4.54;552;3;250.00;0
285;3;625282077;285;133;835;835;10.07;0.61;116.08;4.54;550;3;251.00;0
286;3;625282089;286;137;845;847;10.00;0.61;116.06;4.49;559;3;252.00;2
287;3;625282097;287;141;845;847;9.96;0.61;116.03;4.49;558;3;253.00;2
289;3;625282104;289;142;847;847;10.03;0.61;116.50;4.48;558;3;254.00;0
291;3;625282111;291;145;847;847;9.95;0.61;117.14;4.48;556;3;255.00;0
291;3;625282123;291;150;847;847;9.95;0.61;117.14;4.48;556;3;256.00;0
292;3;625282130;292;154;847;847;9.88;0.60;117.34;4.48;555;3;257.00;0
294;3;625282143;294;153;848;848;9.83;0.60;117.62;4.48;554;3;258.00;0
294;3;625282150;294;154;848;848;9.90;0.60;117.62;4.48;554;3;259.00;0
296;3;625282156;296;156;853;854;9.93;0.60;117.85;4.46;557;3;260.00;1
301;3;625282164;301;150;854;855;9.93;0.60;117.75;4.45;553;3;261.00;1
301;3;625282171;301;144;855;855;9.94;0.60;117.75;4.45;554;3;262.00;0
303;3;625282177;303;138;855;855;9.92;0.60;117.82;4.45;552;3;263.00;0
304;3;625282183;304;136;859;859;9.94;0.60;117.92;4.43;555;3;264.00;0
306;3;625282190;306;132;859;859;10.03;0.61;117.82;4.43;553;3;265.00;0
310;3;625282197;310;128;859;859;10.16;0.62;118.41;4.43;549;3;266.00;0
311;3;625282204;311;131;860;860;10.29;0.62;118.42;4.43;549;3;267.00;0
313;3;625282210;313;130;864;864;10.31;0.62;118.92;4.41;551;3;268.00;0
314;3;625282218;314;125;864;864;10.41;0.63;118.82;4.41;550;3;269.00;0
319;3;625282226;319;121;867;870;10.49;0.64;120.21;4.39;548;3;270.00;3
322;3;625282233;322;118;867;870;10.53;0.64;120.48;4.39;545;3;271.00;3
323;3;625282240;323;117;868;870;10.66;0.65;120.51;4.39;545;3;272.00;2
325;3;625282247;325;113;868;870;10.77;0.65;120.78;4.39;543;3;273.00;2
331;3;625282254;331;105;871;874;10.85;0.66;121.05;4.38;540;3;274.00;3
331;3;625282262;331;100;871;874;10.94;0.66;121.05;4.38;540;3;275.00;3
334;3;625282269;334;96;872;874;11.08;0.67;121.00;4.39;538;3;276.00;2
335;3;625282276;335;91;872;874;11.14;0.67;121.04;4.39;537;3;277.00;2
336;3;625282282;336;86;874;875;11.23;0.68;121.29;4.38;538;3;278.00;1
338;3;625282290;338;81;875;876;11.25;0.68;121.62;4.38;537;3;279.00;1
343;3;625282297;343;78;876;876;11.24;0.68;121.78;4.38;533;3;280.00;0
343;3;625282305;343;79;877;877;11.31;0.69;121.78;4.38;534;3;281.00;0
344;3;625282312;344;78;877;877;11.45;0.69;121.62;4.38;533;3;282.00;0
345;3;625282320;345;80;877;877;11.55;0.70;122.08;4.38;532;3;283.00;0
348;3;625282327;348;77;877;877;11.61;0.70;122.48;4.38;529;3;284.00;0
349;3;625282334;349;79;877;877;11.70;0.71;122.74;4.38;528;3;285.00;0
351;3;625282342;351;78;877;877;11.81;0.72;122.85;4.38;526;3;286.00;0
352;3;625282349;352;82;877;877;11.80;0.71;123.25;4.38;525;3;287.00;0
352;3;625282357;352;98;947;1004;11.38;0.70;123.25;4.06;595;3;288.00;57
353;3;625282375;353;90;949;1005;11.37;0.70;123.51;4.05;596;3;289.00;56
353;3;625282383;353;81;954;1005;11.42;0.70;123.51;4.04;601;3;290.00;51
353;3;625282392;353;86;961;1005;11.45;0.71;123.51;4.03;608;3;291.00;44
355;3;625282400;355;85;967;1005;11.48;0.71;124.35;4.03;612;3;292.00;38
357;3;625282408;357;86;972;1005;11.55;0.71;125.16;4.04;615;3;293.00;33
358;3;625282417;358;85;978;1005;11.62;0.71;125.13;4.05;620;3;294.00;27
361;3;625282430;361;82;982;1005;11.72;0.72;125.58;4.06;621;3;295.00;23
363;3;625282440;363;80;986;1006;11.80;0.73;125.26;4.08;623;3;296.00;20
367;3;625282449;367;82;988;1007;11.89;0.73;124.84;4.08;621;3;297.00;19
369;3;625282463;369;82;989;1007;11.99;0.74;125.14;4.08;620;3;298.00;18
371;3;625282473;371;87;990;1008;12.07;0.74;125.36;4.09;619;3;299.00;18
373;3;625282485;373;90;995;1014;12.03;0.74;125.62;4.12;622;3;300.00;19
373;3;625282498;373;93;996;1014;11.97;0.73;125.62;4.13;623;3;301.00;18
373;3;625282507;373;98;999;1014;11.94;0.73;125.62;4.16;626;3;302.00;15
